team_name,team_city,team_nick,team_abbr,team_logo
Boston Pride,Boston,Pride,BOS,https://upload.wikimedia.org/wikipedia/en/thumb/1/1f/Boston_Pride_logo.png/175px-Boston_Pride_logo.png
Buffalo Beauts,Buffalo,Beauts,BUF,https://upload.wikimedia.org/wikipedia/en/e/e8/Buffalo_Beauts.png
Connecticut Whale,Connecticut,Whale,CTW,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/CT_Whale_logo.svg/1200px-CT_Whale_logo.svg.png
Metropolitan Riveters,Metropolitan,Riveters,MET,https://upload.wikimedia.org/wikipedia/en/2/2f/Metro_Riveters.PNG
Minnesota Whitecaps,Minnesota,Whitecaps,MIN,https://upload.wikimedia.org/wikipedia/en/6/69/MinnesotaWhitecaps.png
Toronto Six,Toronto,Six,TOR,https://upload.wikimedia.org/wikipedia/en/9/93/Toronto_Six_Logo.png
